year,density_num,density_wgt
2003,275.672181705365,34.72751271320265
2004,312.6995307198418,19.89401514823701
2005,416.60366070120796,46.155668474489225
2006,112.12553100174544,6.362980615342979
2007,34.05405282067048,1.8175510996813595
2008,147.86797290398786,7.097173020211476
2009,136.54213099527507,6.845118167448627
2010,205.25579705891292,9.010171879052963
2011,131.95859370547012,9.115472419482566
2012,197.54882949951002,7.028039107098402
2013,63.32593428203162,2.841273407850192
2014,111.51383482714208,4.35683721166457
2015,127.46072411171409,14.829505527829191
2016,159.60610830632896,12.88609595538254
2017,50.75726805348746,3.124699450680064
2018,50.50851739877008,2.6719707507097863
2019,0,1.121698812724725
2021,0,2.101849631346009
2022,0,0.3717465432573024
2023,0,0.35130862281896225
2024,0,0.40418133401347045
