year,density_num,sum_num,density_wgt
2003,275.672181705365,2899520.0071770293,34.72751271320265
2004,312.6995307198418,3288973.6641112957,19.89401514823701
2005,416.60366070120796,4381837.303255305,46.155668474489225
2006,112.12553100174544,1179336.3350763584,6.362980615342979
2007,34.05405282067048,358180.52756781207,1.8175510996813595
2008,147.86797290398786,1555275.3390041443,7.097173020211476
2009,136.54213099527507,1436150.1338083032,6.845118167448627
2010,205.25579705891292,2158880.473465646,9.010171879052963
2011,131.95859370547012,1387940.4885941346,9.115472419482566
2012,197.54882949951002,2077818.5886758463,7.028039107098402
2013,63.32593428203162,666062.1767784086,2.841273407850192
2014,111.51383482714208,1172902.5147118804,4.35683721166457
2015,127.46072411171409,1340631.8962070087,14.829505527829191
2016,159.60610830632896,1678737.0471659682,12.88609595538254
2017,50.75726805348746,533864.9453865811,3.124699450680064
2018,50.50851739877008,531248.5860002638,2.6719707507097863
